DATAFLOW,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,UNIT_MEASURE,BASE_PER,NATURE,TIME_DETAIL,COMMENT_OBS,TIME_COVERAGE,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,COMMENT_TS,GEO_INFO_URL,GEO_INFO_TYPE,CUST_BREAKDOWN_LB,DATA_LAST_UPDATE
SPC:DF_SDG_11(4.4),A,G,VC_DSR_AFFCT,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2005,0,X,0,NUMBER,,C,2005,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_AFFCT,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2006,0,X,0,NUMBER,,C,2006,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_AFFCT,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2007,0,X,0,NUMBER,,C,2007,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_AFFCT,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2008,0,X,0,NUMBER,,C,2008,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_AFFCT,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2009,7,X,0,NUMBER,,C,2009,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_AFFCT,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2010,0,X,0,NUMBER,,C,2010,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_AFFCT,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2012,0,X,0,NUMBER,,C,2012,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_AFFCT,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2013,0,X,0,NUMBER,,C,2013,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_AFFCT,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2014,0,X,0,NUMBER,,C,2014,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_AFFCT,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2015,0,X,0,NUMBER,,C,2015,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
